"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2011","49.70","50.98","50.99","47.59","7.12M","-1.95%"
"04/01/2011","50.69","48.48","50.77","47.33","9.28M","4.82%"
"03/01/2011","48.36","49.03","49.15","44.90","11.22M","-0.86%"
"02/01/2011","48.78","47.65","49.27","47.43","8.71M","3.11%"
"01/01/2011","47.31","47.16","48.04","46.14","11.77M","1.07%"
"12/01/2010","46.81","44.58","46.84","44.58","11.98M","6.75%"
"11/01/2010","43.85","45.08","46.74","43.52","7.27M","-2.19%"
"10/01/2010","44.83","43.55","45.47","42.94","5.33M","3.75%"
"09/01/2010","43.21","40.10","43.73","40.05","4.88M","9.81%"
"08/01/2010","39.35","41.80","42.32","38.75","4.92M","-4.28%"
"07/01/2010","41.11","37.64","41.59","37.11","7.40M","9.34%"
"06/01/2010","37.60","39.18","41.52","37.57","11.15M","-4.42%"
"05/01/2010","39.34","43.78","44.00","37.34","7.67M","-9.38%"
"04/01/2010","43.41","44.11","45.31","43.08","6.34M","-0.23%"
"03/01/2010","43.51","41.17","43.81","41.09","8.93M","6.33%"
"02/01/2010","40.92","40.41","41.46","38.69","3.10M","2.17%"
"01/01/2010","40.05","43.11","43.88","39.95","4.43M","-5.30%"
"12/01/2009","42.29","42.36","43.25","41.44","7.45M","1.20%"
"11/01/2009","41.79","40.05","43.20","39.56","3.86M","5.40%"
"10/01/2009","39.65","40.65","42.70","38.99","5.37M","-2.70%"
"09/01/2009","40.75","38.84","42.15","37.68","5.88M","4.86%"
"08/01/2009","38.86","38.43","39.66","37.00","3.38M","2.97%"
"07/01/2009","37.74","34.90","37.98","32.65","4.27M","9.42%"
"06/01/2009","34.49","36.07","36.66","33.16","8.68M","-2.29%"
"05/01/2009","35.30","31.93","35.30","31.80","4.64M","10.49%"
"04/01/2009","31.95","28.18","32.42","28.03","4.91M","12.78%"
"03/01/2009","28.33","25.40","29.84","23.67","3.22M","9.21%"
"02/01/2009","25.94","28.45","30.69","25.80","2.73M","-9.71%"
"01/01/2009","28.73","32.45","33.63","27.70","9.41M","-11.38%"
"12/01/2008","32.42","30.33","33.10","28.00","10.30M","5.47%"
"11/01/2008","30.74","33.36","35.40","26.20","5.79M","-8.76%"
"10/01/2008","33.69","41.21","41.65","26.64","2.50M","-18.41%"
"09/01/2008","41.29","46.96","49.55","39.45","4.04M","-12.26%"
"08/01/2008","47.06","47.80","48.12","45.91","499.18K","-1.67%"
"07/01/2008","47.86","48.81","50.70","46.15","3.25M","-3.16%"
"06/01/2008","49.42","53.69","53.77","48.90","408.08K","-7.99%"
"05/01/2008","53.71","52.65","55.24","52.10","1.18M","0.86%"
"04/01/2008","53.25","50.25","60.45","50.16","241.61K","7.97%"
